Bills,Food,Entertainment,Transportation,Personal Spending,Savings,Healthcare,Income
52498,23004.94,7026.67,9247.49,12125.79,9640,18415,131958
56496.27,25566,9540.06,11908,12528,16079.36,24749,156867
49615.78,14688.05,13447.5,13201,10342.81,12648.55,27989,141932
39457,14569,7120.93,5714,9640,6239.34,30955,113694
39381,24762,10204,10793.67,10025.22,17721.9,16991.17,129879
29795,23212.81,6650,10216.71,7151,16616.67,26626,120268
43627.21,33908,19137.84,13712.91,12998.71,12727,81780.34,217892
16654,6608,4646.62,5970,4517,4408.99,22082,64886
50347,21711.2,7794,7917,13646.46,21955.4,23966,147337
61309,40642.22,13994,11184,12949,21642.79,61736,223458
63207,21928,10084,16651,17499,9471.31,39426.83,178266
25754,16812.78,8511,5851.63,9106.91,11845.27,19616.68,97498
35681,18781.58,6245.96,11025.78,7941,17327,25723.68,122727
42489.81,16707,7912.42,11257.09,9038,14862.91,34057,136324
63780,30687.84,16270.63,18082,17666.69,22674.13,16042.14,185203
54200.05,35753,19541.95,10795.75,15445,27835.24,37764,201335
9480,2709,2173,2539.26,1463,3633,4025,26023
18223,8237.03,3791.9,4242.56,3967.14,5607,7021,51090
25487,11423.14,6238.46,5131.4,5676.45,9608,13655.63,77221
23081.65,11173,4045.99,5250,4566.12,6871,19832,74820
3737.6,1903.66,810,831,815,1172,1500,10769
17906,9478.04,4825,5111,6401.67,5131,20882.28,69735
43626,29322.05,11195,14333.11,16249.92,22023,67277.66,204027
23802.36,11978.36,5232.24,4634,4625.4,10367.44,14285,74925
81467,26183,14207,14417.12,16781,17909,38077,209041
3166.89,3041.83,859.69,942.49,805,1745,4749.52,15311
33550.75,19111,5766.25,7499,11183.02,12243.61,24000.9,113355
95359.99,42594,14285.44,14605,21272,16128.24,41552.24,245796
55782,41044,20900,19823,12477,29042,45108.67,224176
45160.97,31261.13,12837.02,18177,19413,24395,43535.05,194779
36242,17897.24,6277,8906,6555,7594.56,11833,95305
54205,26240,12261,8613,13471,11348,43627,169765
77267.89,23620,12237,16259,13271,20804,49544.96,213004
88799.61,25077.39,22878.12,19367,16153,16320,45493,234088
43090,22229,7660.51,12076,9842,20763.94,24947.21,140608
88968.06,29399,23784.16,17667.13,13482,32636,42106,248042
59814,27453.86,9793.5,11344,15888,21174,21262,166730
33382.03,10862,6726.57,5446.58,5835.13,12936.49,19289,94478
33317,21630.24,7014.22,7566,8446.19,14539.93,40023,132537
51144,21329.17,15196.85,14136.93,10088,18267.72,29341,159503
46923.51,15035,11524.07,8931.27,11191.34,16583.57,30334,140523
3687,1699.9,1007.32,693.93,1250,1446.73,2961.53,12747
53040,19742,9252.9,7495,13212.59,6960.81,24152,133855
74670.24,32205.44,15085.11,11605.91,10642.89,12367,43646,200222
19381,14708.73,7093,4398.73,6763,8137,15243,75725
42903.65,24096.64,7987.86,8483,12729,11514,32267,139981
28005.36,12435,7602,5391,8983.9,12582.66,19653,94654
43594,19098.65,15710,9921.31,14097.12,25403,49020.69,176845
35867,20235.42,7707.61,7836.79,9601.36,16223,31874.92,129346
18240.07,13099.04,6265,6323,4758,5673,23076.68,77435
22127,9057.94,5101.75,4955.03,3936,5933,15775,66886
18274.43,12434.01,5082.44,7044,6257,5367.43,22343.95,76803
9550,4684,3873.93,2583,3431.51,5446.03,11982,41551
49043,22831,6793.05,8073.83,12181.86,9504.8,17788,126216
6206.91,4027,1183,2127,1543.87,1172.03,5134,21394
21949.54,11562.83,7876,7794,7681.08,10154.17,12074.92,79092
4207.72,2637.57,1237.94,852.74,1372,1621.45,1960,13890
13647,5807,3804.23,2874.34,3834.37,7330,14309.75,51606
65318,36791.12,16479.7,13810,15117,33900.83,55932,237348
55650,34139.75,18087.58,13499.47,21872,27598.77,50262,221110
33630.34,10781.73,8200.07,5313,9562,9618,20208.2,97313
34938,16592,11963,14238,10875.31,10025,53067,151699
6229.77,2463,1637,1705,1517,2232,3006.43,18792
87453,43954.77,20973.94,21947,23018,24251.28,28332.34,249931
83028.7,25009.83,14708,12844,14564,17007.71,82466.25,249629
73240.53,22640,15983.97,17196,17226,11245,57508.85,215041
67191.46,27984.56,12641,10330,15973,13545.15,36408.02,184073
71274,32560,12820.8,18345,21666,27142.49,33816,217624
52322,26171.99,14003.15,15916.35,14703.54,9174.52,32678,164969
26664.39,12747.27,4102.15,7439.35,7460.75,10005,9729.47,78148
27208,17220,7011.48,6955.72,8563,10412.05,56872.52,134243
48245,13622.72,10542.14,10167,8760,10611.65,28226,130174
45859.76,30078,14708.86,13365.37,12296.22,24347,23900,164555
31790,13732,11554.84,9525.91,7315,15905,44536,134358
18888.67,7179.7,5407,4182.67,3340,6816.9,12739,58555
6040,3683,2686,2436,2033.2,2280.75,8000,27159
27997,15129.95,11729.47,9400.88,10549.02,12750,32953.6,120510
33833.25,16283.69,6371,8396.41,6966.22,8002,36677.32,116530
34174.46,13693,6519.79,7016,5252,10029.83,13391.67,90077
